jet,constituent,eta,phi,px,py,pz,p,vjet
0,0,-0.456679,-1.769878,-0.178798,-0.886218,-0.427374,788.651301,nan
0,1,-0.451003,-1.770757,-0.180011,-0.888201,-0.422723,234.618344,nan
0,2,-0.455031,-1.657863,-0.078671,-0.901284,-0.426026,122.207524,nan
0,3,-0.452284,-1.651613,-0.073121,-0.902811,-0.423775,99.432245,nan
0,4,-0.446974,-1.658059,-0.079116,-0.904343,-0.419409,91.636616,nan
0,5,-0.452834,-1.767828,-0.177271,-0.888036,-0.424225,54.524478,nan
0,6,-0.443312,-1.663430,-0.084101,-0.905290,-0.416386,42.207993,nan
0,7,-0.572039,-1.440962,0.110835,-0.848868,-0.516855,38.037065,nan
0,8,-0.427564,-1.654641,-0.076634,-0.911860,-0.403284,28.532498,nan
0,9,-0.442030,-1.636672,-0.059882,-0.907700,-0.415326,24.390640,nan
0,10,-0.442030,-1.763335,-0.174067,-0.892864,-0.415326,22.724518,nan
0,11,-0.452284,-1.771147,-0.180260,-0.887649,-0.423775,21.425199,nan
0,12,-0.387463,-1.679544,-0.100867,-0.923872,-0.369171,16.341865,nan
0,13,-0.469680,-1.766168,-0.174525,-0.881901,-0.437941,15.998610,nan
0,14,-0.419141,-1.661966,-0.083592,-0.914348,-0.396207,13.231267,nan
0,15,-0.389660,-1.694096,-0.114207,-0.921556,-0.371067,10.970746,nan
0,16,-0.440748,-1.807478,-0.213412,-0.884783,-0.414265,11.150211,nan
0,17,0.182745,-1.497211,0.072308,-0.980870,0.180737,4.277475,nan
0,18,-0.657552,-1.876525,-0.245887,-0.779051,-0.576732,3.853970,nan
0,19,-0.408521,-2.019499,-0.399956,-0.830722,-0.387216,3.003866,nan
0,20,-0.570940,-1.963638,-0.327904,-0.791310,-0.516049,3.167197,nan
0,21,-0.339122,-1.612065,-0.038993,-0.944326,-0.326693,2.663736,nan
0,22,-0.540727,-1.630904,-0.052246,-0.868154,-0.493538,2.177190,nan
0,23,-0.024171,-1.663425,-0.092469,-0.995422,-0.024166,1.883363,nan
0,24,-0.302866,-1.415175,0.148148,-0.944275,-0.293933,1.922830,nan
0,25,-0.559587,-1.806007,-0.200782,-0.837828,-0.507671,2.117366,nan
0,26,0.210578,-1.527787,0.042061,-0.977326,0.207519,1.798927,nan
0,27,-0.439650,-1.886184,-0.282446,-0.865658,-0.413354,1.769581,nan
0,28,0.123417,-2.225159,-0.604048,-0.787431,0.122794,1.510454,nan
0,29,0.149602,-1.316650,0.248632,-0.957148,0.148496,1.184026,nan
0,30,-0.311838,-2.069700,-0.456107,-0.837077,-0.302108,1.226243,nan
0,31,-0.493484,-1.912274,-0.297868,-0.838121,-0.456977,1.269178,nan
0,32,-0.092654,-1.731880,-0.159702,-0.982832,-0.092390,1.100410,nan
0,33,-1.100864,-1.673303,-0.061286,-0.595776,-0.800809,1.603636,nan
0,34,-0.533586,-1.506971,0.055668,-0.871001,-0.488117,1.015413,nan
0,35,-0.301401,-1.780417,-0.198982,-0.935305,-0.292594,0.885940,nan
0,36,-1.090793,-2.050851,-0.278832,-0.535516,-0.797167,1.200164,nan
0,37,-0.546770,-1.477394,0.080873,-0.863343,-0.498095,0.651513,nan
0,38,-1.097385,-2.087959,-0.296941,-0.522047,-0.799558,0.888613,nan
0,39,-0.495132,-2.036581,-0.399185,-0.794122,-0.458280,0.541126,nan
0,40,0.161504,-1.369178,0.197672,-0.967104,0.160114,0.478834,nan
0,41,-0.624958,-1.576216,-0.004510,-0.832124,-0.554571,0.532503,nan
0,42,-0.232002,-2.088243,-0.481642,-0.846209,-0.227927,0.451834,nan
0,43,0.283090,-1.666062,-0.091434,-0.956867,0.275762,0.450068,nan
0,44,-0.439650,-2.122627,-0.477364,-0.775411,-0.413354,0.392257,nan
0,45,-1.097018,-1.932777,-0.212747,-0.561834,-0.799425,0.564059,nan
1,0,0.561602,1.101010,0.389621,0.767429,0.509165,241.091513,nan
1,1,0.563799,1.124351,0.371188,0.775443,0.510791,225.222574,nan
1,2,0.561235,1.134800,0.363540,0.780299,0.508893,152.904841,nan
1,3,0.567644,1.139586,0.358625,0.779471,0.513627,103.946500,nan
1,4,0.905667,1.274355,0.203011,0.664650,0.719046,82.378572,nan
1,5,0.902188,1.247694,0.221209,0.660650,0.717362,67.595356,nan
1,6,0.568377,1.132066,0.364339,0.776460,0.514166,48.968707,nan
1,7,0.919767,1.254824,0.213765,0.653864,0.725787,53.603664,nan
1,8,0.548051,1.115464,0.381083,0.778278,0.499058,40.136764,nan
1,9,0.913541,1.290957,0.190863,0.664147,0.722828,49.473358,nan
1,10,0.933866,1.248671,0.215556,0.645862,0.732391,31.232384,nan
1,11,0.942473,1.258632,0.207795,0.643895,0.736356,29.167232,nan
1,12,0.408338,1.237635,0.301541,0.871354,0.387060,19.945271,nan
1,13,0.912625,1.244862,0.221410,0.655080,0.722390,25.601573,nan
1,14,0.703330,1.183043,0.300635,0.736074,0.606477,17.784688,nan
1,15,0.649129,1.160095,0.327743,0.752628,0.571083,17.121233,nan
1,16,0.603900,1.107261,0.376371,0.752954,0.539819,15.443446,nan
1,17,0.596210,1.070247,0.405649,0.741567,0.534347,13.947175,nan
1,18,0.923429,1.240467,0.222537,0.648998,0.727516,16.476947,nan
1,19,0.934782,1.190953,0.252285,0.631928,0.732816,12.629932,nan
1,20,0.948332,1.235095,0.221930,0.636071,0.739027,11.782375,nan
1,21,0.803491,1.263416,0.225701,0.711002,0.665984,9.886510,nan
1,22,0.576800,1.170838,0.332516,0.786565,0.520336,8.229107,nan
1,23,0.991180,1.244961,0.208837,0.618084,0.757865,9.873229,nan
1,24,0.472793,0.916237,0.546574,0.712220,0.440453,6.870278,nan
1,25,0.468764,1.446039,0.111912,0.892374,0.437200,6.623603,nan
1,26,0.863552,1.206582,0.255056,0.669049,0.698083,6.192025,nan
1,27,0.868129,1.204917,0.255351,0.666486,0.700423,5.790455,nan
1,28,0.933500,1.196225,0.249184,0.633844,0.732222,5.767036,nan
1,29,0.944853,1.106379,0.302517,0.603871,0.737444,5.497254,nan
1,30,1.059114,1.164681,0.244565,0.568729,0.785325,5.356955,nan
1,31,0.756432,1.221622,0.263171,0.722813,0.638970,4.285934,nan
1,32,0.685385,1.425632,0.116262,0.795266,0.595009,4.099594,nan
1,33,0.514725,1.074743,0.419191,0.774574,0.473619,3.681250,nan
1,34,0.800378,1.202866,0.268869,0.697484,0.664248,4.222340,nan
1,35,0.294626,1.278356,0.276215,0.917436,0.286387,3.082227,nan
1,36,0.887906,1.204428,0.252135,0.657130,0.710358,4.137454,nan
1,37,0.324290,1.035973,0.484015,0.817020,0.313381,3.052183,nan
1,38,0.690878,0.731569,0.596112,0.535158,0.598546,3.523038,nan
1,39,0.998321,1.284808,0.183053,0.622527,0.760888,4.346412,nan
1,40,0.210944,1.003543,0.525581,0.824957,0.207870,2.849349,nan
1,41,0.978179,1.275140,0.191967,0.630261,0.752277,4.034627,nan
1,42,0.849818,1.350240,0.158146,0.705368,0.690975,3.604294,nan
1,43,0.863369,1.435978,0.096253,0.709610,0.697989,3.608371,nan
1,44,0.609394,1.211760,0.294900,0.785764,0.543700,2.906604,nan
1,45,0.614521,1.068681,0.402801,0.733629,0.547302,2.576363,nan
1,46,0.870876,1.233246,0.235916,0.672156,0.701819,2.939193,nan
1,47,0.893948,1.351599,0.152391,0.684051,0.713338,2.832899,nan
1,48,0.642903,1.169268,0.321964,0.758284,0.566873,2.142070,nan
1,49,0.679891,1.087625,0.374618,0.714037,0.591449,2.171505,nan
1,50,0.454482,1.195832,0.331419,0.842049,0.425576,1.933867,nan
1,51,0.373913,0.980298,0.519999,0.775796,0.357409,1.850763,nan
1,52,0.539262,0.975707,0.487905,0.720738,0.492429,1.735782,nan
1,53,1.112583,1.578668,-0.004670,0.593292,0.804973,2.523248,nan
1,54,0.210944,1.440383,0.127204,0.969850,0.207870,1.515526,nan
1,55,0.744163,1.080899,0.364783,0.684066,0.631654,1.886991,nan
1,56,0.806421,1.307761,0.193582,0.718903,0.667611,1.963592,nan
1,57,0.243355,0.999940,0.524738,0.817123,0.238662,1.500388,nan
1,58,0.373913,1.836977,-0.245674,0.901057,0.357409,1.507796,nan
1,59,0.243721,1.373765,0.190085,0.952231,0.239007,1.432131,nan
1,60,0.771447,1.136551,0.320524,0.691128,0.647770,1.753576,nan
1,61,0.597308,1.613924,-0.036422,0.843983,0.535131,1.535183,nan
1,62,0.324839,1.321321,0.234418,0.920071,0.313876,1.256877,nan
1,63,0.468032,1.295930,0.244182,0.865880,0.436608,1.280877,nan
1,64,0.494034,1.177664,0.340659,0.821417,0.457412,1.293657,nan
1,65,0.794336,0.540828,0.643400,0.386398,0.660858,1.502883,nan
